BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,IsDifficult,IsUnderstand,GazeMove_L,HM_Min,HM_Max,HM_Mean,DiffCrossPos_Min,DiffCrossPos_Max,DiffCrossPos_Mean,Page,Panel
1.0,1.0,1.0,1.0,1.0,1.0,2.0,18.0,68.0,43.0,86.0,0.9555555555555556,2.39078000000004,2.5857290000000406,2.510529335185225,False,False,333.5912234262053,0.8263722301976242,0.9974606295059082,0.9533200324995814,-42.98293527339469,2.2753050059649937,-0.6746444262381622,3,2
1.0,1.0,1.0,1.0,1.0,1.0,2.0,43.0,44.0,43.5,87.0,0.9666666666666667,2.402020833333373,2.5857290000000406,2.5212269259259656,False,False,446.09611086955533,0.782110300706609,0.9974606295059082,0.9633695659400738,-154.16193606486863,2.2753050059649937,-2.167996407967863,3,2
1.0,1.0,1.0,1.0,1.0,1.0,2.0,28.0,49.0,38.5,77.0,0.8555555555555555,2.4342600000000383,2.6525650000000387,2.5581295388889274,False,False,674.199335858781,0.1966468538913453,0.9965269440016832,0.7022750542040973,-154.16193606486863,2.2425720323597482,-2.346136088671318,3,2
1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,28.0,16.25,65.0,0.7222222222222222,2.3810196666667056,2.6525650000000387,2.545795757407447,False,False,838.1690299004281,0.17195391126220194,0.9971067477204903,0.5001756713829562,-4.057737463139597,2.167255712010463,-0.18085857475188089,3,2
1.0,1.0,1.0,1.0,1.0,1.0,4.0,10.0,26.0,17.5,70.0,0.7777777777777778,2.3810196666667056,2.561223333333372,2.484675177777816,False,False,627.6698438499318,0.17195391126220194,0.9998201098314604,0.8192730786065304,-4.057737463139597,2.167255712010463,0.34130306315009407,3,2
1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,71.0,27.666666666666668,83.0,0.9222222222222223,2.4182231666667042,2.561223333333372,2.482584866666704,False,False,385.0492625556717,0.9311013078669952,0.9998201098314604,0.97297478088969,-2.9798646361393413,2.249548773638448,0.19577970223694605,3,2
1.0,1.0,1.0,1.0,1.0,1.0,2.0,21.0,66.0,43.5,87.0,0.9666666666666667,2.4182231666667042,2.624181166666702,2.5253677074074434,False,False,374.0636306541499,0.9461082690063431,0.9996790206530176,0.9699041731863604,-0.9637002095665146,2.249548773638448,0.2824973217759225,3,2
1.0,1.0,1.0,1.0,1.0,1.0,3.0,18.0,43.0,27.333333333333332,82.0,0.9111111111111111,2.499173500000035,2.6290336666667016,2.5630982907407764,False,False,406.8451036185197,0.8056643796288421,0.9996790206530176,0.9438043032914895,-2.460070901947186,2.257722726625635,0.2526875146809147,3,2
1.0,1.0,1.0,1.0,1.0,1.0,3.0,19.0,40.0,27.0,81.0,0.9,2.3871176666667013,2.6290336666667016,2.497915150000036,False,False,408.74100224637755,0.6242172891283874,0.9986585012759741,0.8347417704068365,-181.79425839523861,2.257722726625635,-2.039742915420095,3,2
1.0,1.0,1.0,1.0,1.0,1.0,2.0,22.0,64.0,43.0,86.0,0.9555555555555556,2.3116380000000363,2.4929225000000352,2.3981827481481837,False,False,355.7662026310795,0.6242172891283874,0.9303422458189786,0.7896548570763071,-181.79425839523861,2.2480806665616155,-1.963277870223344,3,2
